time,open,high,low,close
1382580420,204.7,204.74,204.7,204.74
1382580480,NaN,NaN,NaN,NaN
1382580540,204.55,204.55,204.55,204.55
1382580600,NaN,NaN,NaN,NaN
1382580660,204.55,204.89,204.55,204.74
1382580720,204.74,204.74,204.74,204.74
1382580780,204.74,204.74,204.74,204.74
1382580840,204.74,204.9,204.74,204.9
1382580900,204.92,204.92,204.92,204.92
1382580960,204.92,204.92,204.9,204.92
1382581020,204.92,204.97,204.92,204.97
1382581080,204.97,204.97,204.97,204.97
1382581140,204.97,204.97,204.97,204.97
1382581200,204.97,204.97,204.97,204.97
1382581260,204.97,204.97,204.97,204.97
1382581320,204.97,204.97,204.97,204.97
1382581380,204.97,204.97,204.97,204.97
1382581440,204.97,204.97,204.97,204.97
1382581500,204.97,204.97,204.92,204.92
1382581560,204.97,204.97,204.97,204.97
1382581620,204.97,204.97,204.97,204.97
1382581680,204.97,204.98,204.97,204.98
1382581740,NaN,NaN,NaN,NaN
1382581800,204.99,205,204.99,205
1382581860,205,205,205,205
1382581920,205,205,205,205
1382581980,205,205,204.97,205
1382582040,205,205,205,205
1382582100,205,205,205,205
1382582160,205,205,204.99,205
1382582220,205,205,205,205
1382582280,205,205,205,205
1382582340,205,205,205,205
1382582400,205,205,204.67,205
1382582460,NaN,NaN,NaN,NaN
1382582520,205,205,205,205
1382582580,205,205,205,205
1382582640,205,205,204.63,205
1382582700,205,205,204.99,205
1382582760,205,205,205,205
1382582820,205,205,205,205
1382582880,205,205,205,205
1382582940,204.78,205,204.78,205
1382583000,205,205,205,205
1382583060,205,205,204.79,204.79
1382583120,204.77,205,204.77,205
1382583180,205,205,204.7,204.7
1382583240,204.7,205,204.7,205
1382583300,205,205,204.5,204.5
1382583360,204.51,204.51,204.51,204.51
1382583420,204.81,205,204.81,205
1382583480,NaN,NaN,NaN,NaN
1382583540,205,205,205,205
1382583600,NaN,NaN,NaN,NaN
1382583660,205,205,205,205
1382583720,205,205,205,205
1382583780,205,205,205,205
1382583840,205,205,205,205
1382583900,205,205,205,205
1382583960,205,205,205,205
1382584020,205,205,205,205
1382584080,NaN,NaN,NaN,NaN
1382584140,NaN,NaN,NaN,NaN
1382584200,204.9,204.9,204.9,204.9
1382584260,204.51,204.9,204.5,204.9
1382584320,204.88,204.88,204.88,204.88
1382584380,204.88,204.88,204.88,204.88
1382584440,204.88,204.88,204.88,204.88
1382584500,204.88,204.88,204.88,204.88
1382584560,204.88,204.88,204.88,204.88
1382584620,204.88,204.88,204.88,204.88
1382584680,204.88,204.88,204.88,204.88
1382584740,204.88,204.88,204.88,204.88
1382584800,204.88,204.9,204.88,204.9
1382584860,NaN,NaN,NaN,NaN
1382584920,NaN,NaN,NaN,NaN
1382584980,NaN,NaN,NaN,NaN
1382585040,NaN,NaN,NaN,NaN
1382585100,NaN,NaN,NaN,NaN
1382585160,NaN,NaN,NaN,NaN
1382585220,204.9,204.9,204.9,204.9
1382585280,204.9,204.9,204.9,204.9
1382585340,NaN,NaN,NaN,NaN
1382585400,NaN,NaN,NaN,NaN
1382585460,204.57,204.57,204.57,204.57
1382585520,204.89,204.9,204.89,204.9
1382585580,204.9,204.9,204.9,204.9
1382585640,204.9,204.9,204.9,204.9
1382585700,204.95,205,204.95,205
1382585760,205,205,204.99,205
1382585820,205,205,205,205
1382585880,205,205,205,205
1382585940,205,205,205,205
1382586000,205,205.11,205,205.11
1382586060,205.11,205.11,205.11,205.11
